age,income,credit_score,loan_amount,loan_term,previous_defaults,bureau_score,external_data_score,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal,repayment_behavior_Good,repayment_behavior_Poor
51,28802,458,447762,36,4,387,66,True,False,False,False,False,False
29,179450,682,267139,60,2,572,6,False,True,False,False,True,False
53,35882,435,256287,60,2,478,58,True,False,False,False,False,False
28,54872,529,480702,12,3,367,40,False,False,True,False,True,False
26,35479,657,196958,48,1,812,48,False,True,False,False,False,True
42,127422,328,367710,36,2,626,92,False,False,False,False,False,True
59,122811,580,479694,12,2,388,82,True,False,False,False,False,False
22,82665,441,115949,12,2,606,8,False,False,False,True,True,False
50,99818,577,105956,36,3,333,64,False,True,False,False,False,True
21,123903,588,129109,60,0,853,72,True,False,False,False,True,False
33,75480,642,31296,36,0,425,67,False,False,False,True,False,False
20,189024,352,109663,48,2,389,23,False,False,True,False,True,False
58,145849,796,482007,12,1,475,68,True,False,False,False,False,True
59,28446,776,418612,48,4,655,79,False,False,False,True,False,False
64,117628,624,154151,24,1,826,44,False,False,False,True,False,False
69,135720,661,86782,12,3,797,6,False,False,False,False,True,False
38,155653,757,391757,12,3,772,66,False,False,False,True,False,True
40,141688,779,128319,12,4,791,34,False,False,False,True,True,False
28,142863,313,131866,60,2,790,33,True,False,False,False,False,True
38,114699,772,91569,36,4,492,95,False,False,True,False,False,False
26,43331,690,456267,12,1,421,15,False,False,False,False,False,True
25,37509,603,406925,48,1,621,50,True,False,False,False,True,False
27,170673,826,39111,48,2,840,85,False,False,False,True,False,True
49,185250,844,252326,60,3,381,73,False,False,False,False,False,True
62,108422,567,175307,60,3,459,10,False,True,False,False,False,True
56,153085,704,118389,24,3,628,32,False,True,False,False,False,False
21,111288,623,298797,36,1,448,86,False,True,False,False,False,False
45,187001,763,113333,36,1,347,63,False,True,False,False,False,False
45,79412,314,184194,36,0,653,29,False,False,True,False,False,False
49,60297,452,376598,12,2,558,21,False,False,True,False,False,True
43,127228,711,364175,60,4,647,81,False,False,False,False,True,False
66,132701,482,409696,36,3,414,50,False,False,False,False,False,False
45,56018,526,176926,48,1,659,89,True,False,False,False,False,True
55,134091,705,171250,60,4,728,32,False,False,True,False,False,True
38,94462,620,116555,24,4,721,66,True,False,False,False,False,True
31,62933,559,17279,36,4,858,65,False,False,False,False,False,False
39,44124,608,361082,12,0,427,93,False,False,False,True,False,True
68,156385,482,384987,60,2,779,4,False,False,False,False,True,False
45,74213,453,411786,36,2,474,70,False,False,True,False,True,False
42,36374,531,124058,24,1,341,25,False,True,False,False,False,False
38,78959,775,433761,60,3,791,59,False,False,False,False,False,True
49,198860,796,58149,36,4,827,93,False,False,True,False,False,True
39,56483,368,339943,48,3,757,62,False,True,False,False,True,False
38,38019,383,289246,60,4,795,3,True,False,False,False,True,False
68,158368,431,70552,60,4,382,11,False,False,False,False,True,False
66,120546,798,246452,12,4,473,12,False,False,False,True,False,False
33,93805,433,488189,12,3,456,32,False,False,False,True,False,False
62,183052,317,194300,24,0,372,83,True,False,False,False,True,False
66,103291,414,283429,24,2,330,2,False,True,False,False,False,False
39,122413,505,16164,48,3,483,64,True,False,False,False,False,True
54,143800,387,178988,48,0,440,3,False,False,True,False,False,True
27,143099,574,344899,24,3,894,83,False,False,False,True,False,True
49,27957,302,247174,12,1,522,8,False,False,False,False,True,False
