customer_id,age,income,credit_score,loan_amount,loan_term,previous_defaults,bureau_score,external_data_score,default_risk,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal,repayment_behavior_Good,repayment_behavior_Poor
1,56,21920,639,452748,60,4,682,16,1,False,False,False,True,False,True
2,69,126121,655,257134,12,4,485,51,1,False,True,False,False,False,False
3,46,96872,467,226437,12,4,671,90,1,False,False,False,True,False,False
4,32,101132,751,310480,24,3,860,96,1,True,False,False,False,False,True
5,60,22093,404,13070,24,4,465,61,1,False,False,False,False,False,True
6,25,32905,449,6320,24,3,620,31,1,False,False,False,True,True,False
7,38,141759,445,356187,48,0,456,32,1,False,False,False,False,False,True
8,56,175423,598,306065,60,0,584,45,0,True,False,False,False,True,False
9,36,50981,466,11589,36,4,327,76,1,False,False,False,True,True,False
10,40,93903,347,462625,48,4,650,27,1,False,False,False,True,True,False
11,28,90821,538,360139,60,4,382,22,1,True,False,False,False,False,False
12,28,129200,306,20589,36,0,669,15,1,False,False,True,False,False,False
13,41,102289,763,41375,24,2,840,8,0,False,False,False,True,True,False
14,53,136506,752,48085,36,0,694,68,0,False,False,False,True,False,True
15,57,98513,670,65840,12,4,779,8,1,False,True,False,False,False,False
16,41,170946,848,179272,12,2,512,87,0,False,False,True,False,False,False
17,20,158746,786,103704,60,2,659,16,0,False,False,False,True,False,True
18,39,70516,510,424948,48,1,513,48,0,True,False,False,False,False,False
19,19,89212,464,364191,24,3,603,34,1,False,False,False,False,False,True
20,41,153498,424,420642,60,4,454,86,1,True,False,False,False,False,True
21,61,150970,636,35982,24,3,679,87,1,False,False,True,False,False,False
22,47,110009,491,326864,12,1,499,57,1,False,True,False,False,False,True
23,55,181015,513,414962,48,3,537,5,1,False,True,False,False,False,True
24,19,64816,627,295658,48,4,466,44,1,False,True,False,False,True,False
25,38,24138,680,200961,12,1,525,71,0,True,False,False,False,True,False
26,50,111176,538,402067,36,3,550,37,1,False,False,False,False,False,False
27,29,95945,831,418012,48,0,579,90,0,False,False,False,False,False,True
28,39,24017,381,81034,36,2,775,28,1,False,False,False,True,False,False
29,61,30451,662,461014,24,1,797,68,0,False,False,False,False,False,False
30,42,113863,804,365532,48,0,834,96,0,False,False,False,False,True,False
31,66,30278,501,461201,12,4,710,38,1,False,False,False,True,False,True
32,44,63764,803,432808,36,2,728,46,0,True,False,False,False,False,False
33,59,143030,336,49845,24,1,838,73,1,True,False,False,False,False,False
34,45,152206,701,414146,24,2,742,26,0,False,False,True,False,True,False
35,33,82943,475,259259,48,1,509,75,1,True,False,False,False,True,False
36,32,115667,844,377997,48,1,846,84,0,False,True,False,False,True,False
37,64,74318,766,113417,60,3,790,53,1,False,True,False,False,False,False
38,68,123423,500,118436,60,2,770,63,0,False,False,True,False,False,True
39,61,123998,839,243198,48,2,867,63,0,False,False,False,False,True,False
40,69,80128,846,288303,60,0,762,38,0,False,False,True,False,True,False
41,20,41869,693,493288,12,4,849,15,1,False,False,False,True,False,True
42,54,25039,341,94788,12,0,776,99,1,False,False,True,False,False,False
43,68,172353,692,29003,60,3,497,9,1,False,False,True,False,False,False
44,24,132935,740,110722,48,1,820,97,0,False,True,False,False,False,True
45,38,30442,805,302283,12,3,798,75,1,False,False,False,True,True,False
46,26,93788,619,241444,24,3,810,22,1,False,False,False,True,False,True
47,56,139729,514,319596,48,0,624,70,0,False,False,True,False,False,False
48,35,47586,370,27205,36,1,766,56,1,False,False,False,True,False,False
49,21,73053,535,232131,36,4,895,37,1,False,False,False,True,True,False
50,42,106346,580,61955,48,3,438,57,1,True,False,False,False,True,False
51,31,87087,461,246235,60,4,541,60,1,False,False,False,True,False,True
52,67,163697,490,274608,12,1,615,85,1,False,False,False,False,False,False
53,26,54397,308,218718,12,1,434,12,1,False,False,False,True,False,False
54,43,78671,359,208729,48,0,487,7,1,False,True,False,False,False,True
55,19,136214,524,276984,24,2,878,66,0,True,False,False,False,True,False
56,37,86897,586,307912,60,0,368,41,1,False,True,False,False,False,False
57,45,177221,468,407677,24,4,738,24,1,False,True,False,False,False,False
58,64,156355,361,288071,48,0,376,90,1,False,False,False,False,True,False
59,24,158682,648,488150,48,1,699,25,0,True,False,False,False,False,False
60,61,194398,741,365766,24,3,673,62,1,False,False,True,False,True,False
61,25,34924,313,20329,36,2,311,84,1,False,False,False,True,False,True
62,64,133143,463,20791,48,1,786,44,1,False,False,False,False,True,False
63,52,130253,719,319771,60,3,716,2,1,False,False,False,False,True,False
64,31,120297,819,396029,24,4,506,42,1,False,False,True,False,False,True
65,34,20869,847,150444,36,4,640,99,1,False,False,False,False,False,False
66,53,117088,327,491106,24,4,610,33,1,False,False,True,False,False,False
67,67,21014,745,184541,36,0,607,17,0,False,False,True,False,True,False
68,57,30103,507,376698,36,4,592,63,1,False,False,True,False,True,False
69,21,130317,769,135436,60,4,675,22,1,False,False,False,False,False,True
70,19,184530,403,92073,48,0,826,1,1,False,False,True,False,False,True
71,23,102409,725,254894,36,3,639,94,1,False,False,False,False,False,False
72,59,43248,400,301514,48,1,382,70,1,True,False,False,False,False,False
73,21,194588,840,56408,60,2,876,54,0,False,False,True,False,False,True
74,46,180133,821,358085,48,4,751,14,1,False,False,False,False,True,False
75,35,175242,405,421919,12,4,302,97,1,False,False,False,False,False,True
76,43,28024,576,151306,36,4,755,53,1,False,False,False,False,False,False
77,61,105947,364,143604,60,0,535,6,1,False,False,False,True,True,False
78,51,194875,487,302560,24,0,688,90,1,False,False,False,True,False,True
79,27,170368,616,77439,60,0,692,64,0,False,False,True,False,False,False
80,53,111829,437,23242,36,2,329,88,1,True,False,False,False,True,False
81,31,112708,642,186326,60,1,882,33,0,False,False,True,False,True,False
82,48,106664,404,346468,24,4,447,72,1,False,True,False,False,True,False
83,65,169329,845,302393,12,3,582,44,1,False,True,False,False,True,False
84,32,163927,679,367268,36,4,537,34,1,True,False,False,False,True,False
85,25,105178,409,362193,36,4,618,34,1,True,False,False,False,False,True
86,31,121121,844,244647,60,4,636,24,1,True,False,False,False,True,False
87,40,40025,653,352222,48,4,330,2,1,False,False,False,True,False,True
88,57,155530,616,299438,48,1,506,8,0,False,False,False,True,True,False
89,38,83610,565,195856,24,3,528,25,1,False,True,False,False,False,False
90,33,90843,364,401900,12,0,882,94,1,True,False,False,False,True,False
91,62,127237,632,422011,12,3,641,32,1,False,False,False,False,False,True
92,35,194499,812,196373,60,4,759,56,1,False,True,False,False,False,False
